Category,Title,Original Link,Description,Publication Date
주식,"미국 주식 낮 거래 오늘부터 전면 중단… ""투자자 보호 조치""",https://www.moneys.co.kr/article/2024081608125752208,주간거래는 국내 증권사가 미국 주식시장의 야간 거래 시간에 제공하는 미국 주식 중개 서비스다. 금융투자협회는 미국의 대체거래시스템 블루오션 거래중단과 관련해 투자자 보호와 재발 방지 조치를 추진하고 있다고... ,"Fri, 16 Aug 2024 08:49:00 +0900"
주식,"버핏, 애플 주식 절반 팔고 이 주식 샀다",https://biz.sbs.co.kr/article_hub/20000187136?division=NAVER,"헤이코 주식을 각각 69만여주, 104만여주 매수했다고 밝혔습니다. 이는 이날 종가 기준 2억2천700만 달러... 버크셔는 2분기에 772억 달러(약 105조원) 규모 주식을 매도한 반면 16억 달러(약 2조1천억원) 어치만... ","Fri, 16 Aug 2024 04:13:00 +0900"
주식,"국민연금, 비트코인 최다 보유 美 기업 주식 460억원 규모 매입",http://www.m-i.kr/news/articleView.html?idxno=1150532,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1377.48달러에 2만4500주를 매입했다.... ,"Sat, 17 Aug 2024 07:08:00 +0900"
주식,"국민연금, 가상화폐 간접 투자 확대",https://economist.co.kr/article/view/ecn202408170010,국민연금이 비트코인 최다 보유 기업의 주식을 사들이며 가상화폐에 대한 간접 투자를 확대하고... 마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을 보유한... ,"Sat, 17 Aug 2024 17:35:00 +0900"
주식,블루오션 사태에… ‘美주식 주간거래’ 16일부터 일시 중단,https://www.kmib.co.kr/article/view.asp?arcid=0020422467&code=61141211&cp=nv,한국 낮 시간대에 미국 주식을 거래할 수 있도록 한 국내 증권사들의 데이마켓(주간거래) 서비스가 16일부터... 앞서 지난 5일 블루오션은 글로벌 주식시장의 증시 급락 여파로 투자자들의 주문이 몰리자 한국 시간 기준... ,"Wed, 14 Aug 2024 17:43:00 +0900"
주식,[속보] ‘우크라이나 테마주’ 삼부토건 주식 거래 중지,https://realty.chosun.com/site/data/html_dir/2024/08/16/2024081600795.html,올해 시공능력평가 71위 중견건설사인 삼부토건의 주식 거래가 중지됐다. 16일 한국거래소에 따르면 삼부토건은 회계감사인으로부터 반기 검토의견 의견거절을 받았다. 이에 따라 유가증권시장 상장규정 제 46조에... ,"Fri, 16 Aug 2024 10:02:00 +0900"
주식,증시 폭락 때 주문 취소 여파…16일부터 미 주식 주간 거래 잠정 중단,https://www.hani.co.kr/arti/economy/finance/1153758.html,미국 주식 주간 거래 서비스를 제공하던 국내 증권사들이 16일부터 해당 서비스를 잠정 중단한다. 지난 5일... 미국 주식을 매도하려는 주문이 몰려들자 한국 시간 기준 오후 2시45분 이후 접수된 모든 주문을 일방적으로... ,"Wed, 14 Aug 2024 18:54:00 +0900"
주식,"국민연금, 비트코인 최다보유 美 기업주식 460억원 매입",https://www.youthdaily.co.kr/news/article.html?no=162629,마이크로스트래티지 주식을 매입했다고 증권거래위원회(SEC)에 증권신고서를 제출했다.... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1천377.48달러에 2만4천500주를 매입했다.... ,"Sat, 17 Aug 2024 11:22:00 +0900"
주식,"코스피, 1.99% 급등 마감…""다시 주식이다""",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202408160165&t=NN,코스피가 2%대에 육박하는 오름세로 장을 마감하며 5거래일 연속 오름세를 이어갔다. 삼성전자는 보름여만에 다시 '8만전자'로 올라섰다. 미국발 경기침체 공포가 급속히 수그러들면서 위험자산에 대한... ,"Fri, 16 Aug 2024 15:31:00 +0900"
주식,"국민연금, 비트코인 최다 보유 美기업 주식 460억원 규모 매입",https://www.tfmedia.co.kr/news/article.html?no=168000,가상화폐 간접투자 확대…작년엔 코인베이스 주식 사들여 수백억원 이익  국민연금이 가상화폐에 대한... 마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을... ,"Sat, 17 Aug 2024 09:06:00 +0900"
주식,[뉴욕마켓워치] 올해 최고의 한주 보낸 증시…주식·국채↑달러↓,https://news.einfomax.co.kr/news/articleView.html?idxno=4321585,"◇주식시장 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 96.70포인트(0.24%) 오른 40,659.76에... 이에 따라 테슬라 주식에 대해서도 '매도' 의견을 유지했다. 미국 최대 세무 서비스 기업 H&R블록은 시장... ","Sat, 17 Aug 2024 08:52:00 +0900"
주식,미국 주식 주간거래 당분간 전면 중단...재개 시점 미정,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=5049576,미국 주식을 낮에도 거래할 수 있는 국내 증권사들의 데이마켓(주간거래) 서비스가 당분간 전면 중단됩니다. 금융투자업계에 따르면 국내에서 미국 주식 주간거래 서비스를 제공하고 있는 증권사 19개사는 당분간... ,"Wed, 14 Aug 2024 15:34:00 +0900"
주식,"코인 간접투자 늘리는 '국민연금', 美 마이크로스트래티지 주식 대거 매입",https://www.getnews.co.kr/news/articleView.html?idxno=688753,마이크로스트래티지 주식을 대규모로 매입했다는 외신 보도가 나왔다. 코인데스크는 16일(현지시간)... 마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을 보유한... ,"Sat, 17 Aug 2024 09:40:00 +0900"
주식,“갑자기 멈추면 어쩌라고”…美주식 낮거래 중단에 100만 서학개미 부글부글,https://www.mk.co.kr/article/11093194,주문 취소 여파에 따른 전면 중단 국내 증권사를 통해 미국 주식을 낮에도 거래할 수 있는 주간 거래... 14일 금융투자업계에 따르면 국내에서 미국 주식 주간거래 서비스를 제공 중인 증권사 19개사는 당분간 서비스... ,"Wed, 14 Aug 2024 21:42:00 +0900"
주식,르네상스 호텔 팔아 회생한 '삼부토건' 어쩌나…주식 거래정지에 흔들흔들,https://realty.chosun.com/site/data/html_dir/2024/08/16/2024081600931.html,“국내 1호 건설기업 어쩌다 이지경까지” ‘삼부토건’ 창립부터 주식 거래정지까지 올해 시공능력평가 71위 중견건설사인 삼부토건의 주식 거래가 중지됐다. 올해 이른바 ‘우크라이나 재건 테마주’로 분류되면서... ,"Fri, 16 Aug 2024 10:32:00 +0900"
주식,美 주식 주간거래 무기한 중단,https://www.hankyung.com/article/2024081440311,국내 증권사들이 미국 주식 주간거래(데이마켓) 서비스를 무기한 중단하기로 했다. 14일 금융투자업계에... 데이마켓은 한국 시간으로 오전 9시부터 오후 4시50분까지 미국 주식 거래가 가능하도록 지원하는 서비스다.... ,"Wed, 14 Aug 2024 17:40:00 +0900"
주식,"""드디어 공포 털었다""…'안심 버튼' 켜지자 껑충 뛴 주식",https://www.hankyung.com/article/2024081661786,국내 반도체 기업 주가가 미국 경기침체 우려 해소에 일제히 오름세다. 16일 오전 9시6분 현재 삼성전자는 전 거래일 대비 2000원(2.59%) 오른 7만9200원에 거래되고 있다. SK하이닉스와 한미반도체도 각각 4.77%와 6.84% 뛰고... ,"Fri, 16 Aug 2024 09:16:00 +0900"
주식,"정해인X정소민, 이 주식 된다 [화보]",http://www.stoo.com/article.php?aid=95511993939,배우 정해인과 정소민이 진짜 커플 같은 '케미'를 뽐냈다. 정해인은 최근 한 패션 매거진과 9월호 화보 촬영을 진행했다. 이날 정해인은 개인 화보에서 헝클어진 헤어와 다양한 시도가 돋보이는 스타일링으로 소년미를... ,"Fri, 16 Aug 2024 15:50:00 +0900"
주식,"""싸게 파니까 대박 났다""…""급한 불은 껐는데"" [정경준의 주식어때]",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202408160132&t=NN,"당신만 모르는 주식투자의 불변의 법칙입니다. 사상 유례없는 복합위기의 시대, 성공 투자의 절대 공식은 사라진지 이미 오래. 처음부터 다시 시작하는 주식공부, <정경준의 주식어때> 시작합니다. [편집자주] 미국의... ","Fri, 16 Aug 2024 14:22:00 +0900"
주식,"삼부토건 감사의견 거절로 ‘관리종목’ 지정, 주식 거래 정지",https://www.businesspost.co.kr/BP?command=article_view&num=362572,'우크라이나 재건 테마주'로 주목받던 삼부토건 주식 거래가 정지됐다. 한국거래소는 16일 삼부토건을 '관리종목'으로 지정하고 주식 매매를 정지했다고 밝혔다. 한국거래소는 16일 삼부토건이 감사의견 거절을 받아... ,"Fri, 16 Aug 2024 20:16:00 +0900"
주식,"국민연금, 비트코인 최다보유 美 기업주식 460억원 매입…간접투자 확대",https://www.financialpost.co.kr/news/articleView.html?idxno=211276,국민연금이 비트코인(BTC) 최다 보유한 미국 기업주식에 수백억원을 투자했다. 국민연금이 가상화폐 관련 기업 주식을 매입한 것은 두 번째다. 가상화폐에 대한 간접 투자를 확대하고 있는 셈이다. 16일... ,"Sat, 17 Aug 2024 07:22:00 +0900"
주식,서학개미 100만 이용 美주식 주간거래 16일부터 당분간 중단,https://www.chosun.com/economy/money/2024/08/14/2MVOICVPHNCQLM4EZGBTEKUYWA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"국내 증권사를 통해 미국 주식을 낮에도 거래할 수 있는 주간거래(데이마켓) 서비스가 16일부터 당분간... 업계에 따르면, 국내에서 블루오션을 통해 미국 주식 주간거래 서비스를 제공 중인 증권사는 삼성증권 등... ","Wed, 14 Aug 2024 20:51:00 +0900"
주식,“스벅 커피 말고 주식 살걸”…주가 24.5% 급등 이유는,https://www.seoul.co.kr/news/international/USA-amrica/2024/08/14/20240814500191?wlog_tag3=naver,미국 스타벅스의 주가가 하루에 20% 이상 급등했다. 13일(현지시간) 미국 증시에서 스타벅스 주가는 24.5% 상승했다. 거래량도 전거래일 대비 1000% 급증하며 매수세가 몰렸다. 이날 스타벅스 주가가 급등한 이유로 미국의... ,"Wed, 14 Aug 2024 16:57:00 +0900"
주식,미국 주식 낮 거래 당분간 전면 중단···“시스템 검증 후 재개 여부 판단”,https://www.khan.co.kr/economy/economy-general/article/202408141716001,미국 주식을 한국 낮시간대에도 거래할 수 있는 국내 증권사들의 주간거래(데이마켓) 서비스가 당분간 전면... 미국 주식 주간거래 서비스는 ‘서학개미’들이 한국 시간으로 낮 시간대에 미국 주식을 사고팔 수 있도록... ,"Wed, 14 Aug 2024 17:17:00 +0900"
주식,미국주식 주간거래 당분간 전면 중단…'주문취소 사태' 여파,http://www.fnnews.com/news/202408141510166765,미국주식을 낮에도 거래할 수 있는 국내 증권사들의 데이마켓(주간거래) 서비스가 당분간 중단된다. 14일 금융투자업계에 따르면 국내에서 미국주식 주간거래 서비스를 제공하고 있는 19개 증권사가 당분간 서비스... ,"Wed, 14 Aug 2024 15:28:00 +0900"
주식,[경제PICK] 주식 시세처럼...실시간 '부동산 통계 시스템',https://www.ytn.co.kr/_ln/0102_202408131715390968,"주식 시세처럼, 실시간 부동산 통계 시스템! 시시각각 변하는 주가처럼 부동산 추이 통계를 바로 알 수 있다는 말씀인가요? 네, 우선 현재 부동산 통계 시스템을 좀 설명 드리자면요. 부동산을 연구하는 사람이나, 기자들... ","Tue, 13 Aug 2024 17:15:00 +0900"
